gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000248487	5.48	1.03	5.07	0.62	0.0	0.0	0.0	2.45	2.27	1.86
ENSG00000114786	0.0	4.12	6.12	0.0	0.0	5.42	0.0	2.68	0.0	0.0
ENSG00000114779	2.11	3.23	11.89	5.07	1.3	1.89	12.68	11.07	4.67	2.01
ENSG00000168792	2.1	2.72	3.54	5.81	0.18	1.21	4.01	3.09	1.41	2.43
ENSG00000204427	73.0	73.19	41.51	86.7	53.05	78.38	74.79	97.33	95.96	55.87
ENSG00000183260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000140526	10.92	13.95	20.43	26.51	19.23	13.91	12.42	58.45	35.94	14.17
ENSG00000158201	12.94	3.52	9.57	5.2	14.65	4.59	5.31	11.83	3.9	12.02
ENSG00000100439	22.13	25.76	20.71	34.05	33.82	34.85	26.98	6.82	26.96	19.68
ENSG00000011198	5.88	5.3	5.53	10.98	20.22	5.03	5.45	3.66	3.7	9.36
ENSG00000163686	1.98	4.54	5.75	3.07	4.25	6.18	8.2	9.6	2.79	2.79
ENSG00000127220	0.43	1.39	4.47	2.57	1.74	1.21	5.31	2.81	1.39	1.28
ENSG00000136754	49.75	60.85	37.21	69.4	108.35	45.76	54.75	49.53	45.63	54.97
ENSG00000138443	51.47	71.15	33.93	61.84	102.35	47.85	71.66	29.79	41.96	51.04
ENSG00000108798	18.85	29.19	30.67	47.04	37.81	15.11	49.19	1.08	15.71	56.86
ENSG00000154175	0.0	0.0	1.17	0.15	0.08	0.21	0.16	0.0	0.25	0.3
ENSG00000097007	37.77	53.04	36.79	39.33	52.82	39.15	50.16	24.87	34.29	34.72
ENSG00000143322	16.44	24.93	15.85	13.39	36.72	14.27	23.98	5.81	13.07	32.43
ENSG00000099204	2.89	14.38	24.46	7.86	18.42	3.36	15.05	2.27	6.23	10.49
ENSG00000163995	0.0	0.28	0.0	0.0	0.11	0.0	0.63	0.0	0.17	0.0
ENSG00000173210	0.14	5.73	2.37	0.92	2.57	0.07	8.71	0.21	0.76	6.56
ENSG00000175164	1.9	13.75	10.23	0.86	2.79	3.43	16.71	9.01	1.71	2.14
ENSG00000002726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0
ENSG00000159842	19.85	44.43	19.56	26.51	16.36	24.71	27.91	10.84	20.6	14.38
ENSG00000174429	0.0	0.17	1.4	0.73	0.06	0.0	1.03	0.13	0.08	0.0
ENSG00000146386	727.1	649.72	1116.58	987.49	2005.37	686.47	813.1	754.42	547.23	1468.6
ENSG00000146109	56.78	37.6	65.93	59.72	61.36	66.21	43.4	40.67	51.06	48.17
ENSG00000114626	5.86	2.88	1.73	1.38	7.94	4.08	3.14	3.21	4.3	3.06
ENSG00000166016	1.25	12.75	12.93	1.75	5.93	1.71	13.37	0.45	1.53	11.17
ENSG00000060971	28.15	46.68	107.63	34.3	43.5	33.78	53.4	76.06	51.77	42.84
ENSG00000167315	103.92	107.06	179.22	152.16	91.72	131.79	93.08	164.25	158.05	129.87
ENSG00000278540	39.91	32.12	41.64	23.61	39.34	44.88	34.67	42.04	50.97	37.51
ENSG00000076555	0.75	2.99	0.97	0.83	1.07	0.62	2.54	1.2	1.66	1.0
ENSG00000111271	4.09	6.38	7.2	4.95	3.76	7.54	12.64	9.9	8.64	5.32
ENSG00000240303	6.54	17.22	9.76	8.48	2.07	9.86	15.25	7.1	2.45	12.97
ENSG00000151498	19.79	30.0	29.52	26.16	23.8	10.32	31.99	20.1	23.11	16.72
ENSG00000177646	31.64	19.26	38.06	37.96	31.53	33.21	41.32	45.79	40.96	34.77
ENSG00000115361	0.12	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000117054	90.14	80.07	141.86	143.23	136.0	112.21	84.84	168.46	175.67	123.95
ENSG00000122971	1.24	4.81	8.3	1.75	2.48	1.16	5.05	5.67	2.69	0.35
ENSG00000196177	2.86	3.55	14.44	3.55	5.19	1.67	4.47	8.67	7.61	6.05
ENSG00000072778	78.97	135.78	162.12	211.19	69.36	112.55	139.82	184.63	124.45	101.24
ENSG00000157766	0.26	0.0	0.08	0.08	0.0	0.25	0.37	0.1	0.05	0.0
ENSG00000072818	0.35	0.38	24.49	1.6	0.0	0.63	0.28	14.72	5.23	0.27
ENSG00000114331	29.17	38.4	27.99	30.84	52.55	34.94	38.76	26.07	27.39	40.08
ENSG00000131584	8.19	28.28	18.91	13.57	11.49	16.2	29.83	13.55	12.11	8.28
ENSG00000075239	14.31	15.32	90.32	27.95	39.75	17.16	24.8	66.06	35.9	37.03
