gene	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast	Fibroblast
ENSG00000003436	164.8377341249	74.656290870436	160.55634744948	241.1153272464	216.24686	179.86154375	112.31357	324.384860239088	81.23882	73.16154	273.045340528415	171.7578	70.568597	67.3006151	314.679314470991	91.7136	79.151562	242.000238	87.53354	69.2924790397	82.837695	74.629031	76.762185	136.684100479355	129.628100112353
ENSG00000003509	32.621889	10.06182	20.118194	13.06442	12.8951	7.70767620244282	11.161337622539	8.0303251074	19.12285272	9.368818	15.11326	29.00327	15.32889	21.169406	15.613375	22.1487	15.6181649601	27.24988	27.599377301309	26.3584480032269	26.48212	20.72450824008	18.515649	8.337924	17.1272
ENSG00000003756	105.887142	81.23244706	54.4197534	39.237951	63.53252	72.24647	85.66498	122.06705	53.070933	66.1998522	89.073852	157.666263046633	89.386807	81.740961	86.348193	133.16687	102.804089	69.61716485765	74.25965	115.906556	138.90824	69.046059	60.0157776	90.205245	121.78443
ENSG00000003987	3.30319	4.37411	1.92252	3.09095	0	0.291065	2.34492	0	3.139562	2.591734	2.81248	3.04703	2.366615	0.821025	0.253737	4.075663	0	1.31357	3.633747	0	18.896917	0.200171	9.237028	0	17.92967
ENSG00000003989	35.5650954	17.34519074	30.64647	32.50965470894	1.19253638705	3.91382879903	3.441911152	23.2566873943	11.7153787301	52.5164382468	58.5725800006629	2.8820766972	5.53877197608132	12.231318131357	7.435777678716	3.8813302895	6.9301424437	11.8210696801	2.8056525608	3.589419669	5.2283119955251	3.0389192942877	4.718833737	15.7900268502	3.3086584589
ENSG00000004059	95.5835	113.0297	91.68518	64.09239	167.852	111.85616	125.5373	101.95760195357	163.03556	102.576140921123	80.1358239866	142.6591	133.561421	152.86026	141.30182	167.97509	167.44175	139.68367	185.67056	182.25638	132.15228	194.368021	204.743241	119.68845	149.208
ENSG00000004139	2.880056	3.005794	5.89318	3.858314	0.0954116	0.302699	12.850271	5.923618	2.94894	3.693292	6.445602	2.03427	5.253921	1.08572	4.326911	5.873943	5.600918	12.092253	12.121719	1.620901	0.286195	1.314637	7.84284	7.580058	6.57299
ENSG00000004142	12.5169	25.834	8.31274	15.43273	41.4365	18.5381	19.9456	17.3531	14.3605	19.1467	8.61352	11.04	15.220777	12.04596	15.80922	17.4711	22.5156	17.7063	12.5472	31.3188	24.1075	10.4128	14.8009	19.2196	11.2108
ENSG00000004399	16.478108	12.704946	31.76967	20.55274	19.876889	4.869541	14.991401	32.251465	15.692892	13.545834	44.002121	7.4441423	4.5042	28.033776	7.273101	18.422064	19.865289	1.712158	9.978877	12.08959	18.428774	22.446352	29.32111	22.252458	34.770207
ENSG00000004455	118.63189	135.463720084871	80.90028	104.4338	81.6136	89.09177	75.883270142525	117.44602	125.8041	109.58618	130.46262	111.33261001926	114.249155	101.496217	93.88729	75.6266	80.973864	101.747956	104.56608	86.64969	110.51619	154.06925	142.97503416	61.25354	137.02791
ENSG00000004468	6.85783	5.002277	12.690634	0.424681	14.097266	10.71776	6.344415	16.070863	39.40269	70.85808	53.49991	23.94324	101.736	61.58812	1.42977	3.162113	4.652486	1.589064	25.60906	20.71126	4.36563	1.06042	5.92876	4.306529	35.76515
ENSG00000004478	32.58941	24.48976	13.464243	18.61714	29.852002	7.452901	23.10439	18.85118	41.50551	4.48879	14.78161	30.99569	29.12064	21.90113	29.838946	17.30295	25.67176	19.361154	42.82288	22.07683	14.097756	23.071	11.75684	13.075005	8.685121
ENSG00000004487	8.2799564174	44.573947014	4.657055	7.24007	24.82913	25.106049	9.6104609931	13.939845878	30.916055784	40.17087	25.169563647	4.536224042	17.663713219	12.70609603808	14.8517481935	14.7419193949	14.446926	27.879827794	24.5923561709	18.154552704	41.41528	24.69113	43.37397	21.56224	10.10505
ENSG00000004534	73.59669	71.67314141719	75.497281	68.85306	113.26747	41.154535	82.22173	60.187	66.892948	52.45691	90.1848121404	89.534134	70.04851397	67.794154	46.99421	65.810222	83.98917	85.3320711	84.55072	56.637983736	65.918046	64.64186	55.07470449	93.45066	80.417295
ENSG00000004660	4.184030142115	0.13579000756345	1.105441174	1.98649900222403	3.1354700989353	0.0999664	0.62550500396511	0.9611750147284	4.348320100246	1.6552100176835	1.236957020324	1.6827770392079	0.6079010196079	1.03738	2.5202970131966	5.9628700611784	8.734195116412	2.261493130569	1.82907500131193	5.7036360880727	17.426784848	14.58824566	12.615091	8.547370170475	10.070465171795
ENSG00000004700	32.4916	22.19921	33.131	18.64356	27.14235	32.2997	28.64	48.52182	63.3659	28.43135	34.4272	36.6747	39.74529	49.1717	44.92077	44.4503	41.83874	44.2132	24.8655	40.37491	41.8264	35.532	46.998817	27.04635	18.061742837
ENSG00000004766	17.419314	8.28208000143865	16.082698	9.948763028197	25.096253679	12.87491	5.703024	10.376488	7.897808	9.903723	11.274177470312	33.068548	6.577	9.686988	10.009223	12.640504	9.525419	23.176943	13.638707454	7.108934	18.96952	24.715013	8.05293	1.960354	18.203657
ENSG00000004776	3.40851	0.373866	2.652	0	8.8764	9.28113	5.58311	1.850635	7.38238	7.40181	0.974443	18.33188	3.82451	11.3862	3.269773	2.783054	6.82336	3.08755	9.38316	22.19716	0	3.42487	12.50014	0	36.7127
