Ensembl ID(supplied by Ensembl)	Ensembl gene ID	Approved symbol	Previous symbols	Synonyms
ENSG00000225969	ENSG00000225969	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035
		ABHD11-AS2		
ENSG00000100997	ENSG00000100997	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
ENSG00000131969	ENSG00000131969	ABHD12B	C14orf29	BEM46L3
ENSG00000139826	ENSG00000139826	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1
ENSG00000248487	ENSG00000248487	ABHD14A		DKFZP564O243, DORZ1
ENSG00000114786	ENSG00000114786	ABHD14A-ACY1		
ENSG00000114779	ENSG00000114779	ABHD14B		MGC15429, CIB
ENSG00000168792	ENSG00000168792	ABHD15		
ENSG00000264031	ENSG00000264031	ABHD15-AS1		linc-TP53I13, lnc-TP53I13
ENSG00000204427	ENSG00000204427	ABHD16A	BAT5	NG26, D6S82E
ENSG00000183260	ENSG00000183260	ABHD16B	C20orf135	dJ591C20.1
ENSG00000129968	ENSG00000129968	ABHD17A	C19orf27, FAM108A1	MGC5244
ENSG00000198658	ENSG00000198658	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47
		ABHD17AP2	FAM108A3, FAM108A11P, FAM108A3P	
ENSG00000250536	ENSG00000250536	ABHD17AP3	FAM108A4, FAM108A4P	
ENSG00000229107	ENSG00000229107	ABHD17AP4	FAM108A5, FAM108A5P	
ENSG00000263366	ENSG00000263366	ABHD17AP5	FAM108A6, FAM108A6P	
ENSG00000226981	ENSG00000226981	ABHD17AP6	FAM108A7P	
ENSG00000260864	ENSG00000260864	ABHD17AP7	FAM108A8P	
ENSG00000260540	ENSG00000260540	ABHD17AP8	FAM108A9P	
ENSG00000261536	ENSG00000261536	ABHD17AP9	FAM108A10P	
ENSG00000107362	ENSG00000107362	ABHD17B	C9orf77, FAM108B1	CGI-67
ENSG00000136379	ENSG00000136379	ABHD17C	FAM108C1	
ENSG00000164074	ENSG00000164074	ABHD18	C4orf29	FLJ21106
ENSG00000136754	ENSG00000136754	ABI1	SSH3BP1	E3B1, ABI-1
ENSG00000271484	ENSG00000271484	ABI1P1	SSH3BP1P, ABI1P	
ENSG00000138443	ENSG00000138443	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ENSG00000108798	ENSG00000108798	ABI3		NESH, SSH3BP3
ENSG00000154175	ENSG00000154175	ABI3BP		NESHBP, DKFZP586L2024, TARSH
ENSG00000119328	ENSG00000119328	ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate
ENSG00000251106	ENSG00000251106	ABITRAMP1	FAM206BP	
ENSG00000097007	ENSG00000097007	ABL1	ABL	JTK7, c-ABL, p150
ENSG00000143322	ENSG00000143322	ABL2	ABLL	ARG
ENSG00000099204	ENSG00000099204	ABLIM1	LIMAB1, ABLIM	abLIM, limatin
ENSG00000163995	ENSG00000163995	ABLIM2		KIAA1808
ENSG00000173210	ENSG00000173210	ABLIM3		KIAA0843
ENSG00000175164	ENSG00000175164	ABO		A3GALNT, A3GALT1
ENSG00000159842	ENSG00000159842	ABR		MDB
ENSG00000174429	ENSG00000174429	ABRA		STARS
ENSG00000146386	ENSG00000146386	ABRACL	C6orf115	PRO2013, HSPC280, Costars
ENSG00000163322	ENSG00000163322	ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS
ENSG00000165660	ENSG00000165660	ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1
ENSG00000146109	ENSG00000146109	ABT1		Esf2
ENSG00000250496	ENSG00000250496	ABT1P1		
ENSG00000114626	ENSG00000114626	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21
ENSG00000166016	ENSG00000166016	ABTB2		DKFZP586C1619, BTBD22, ABTB2A
ENSG00000060971	ENSG00000060971	ACAA1		
ENSG00000167315	ENSG00000167315	ACAA2		DSAEC
ENSG00000278540	ENSG00000278540	ACACA	ACAC, ACC	ACC1
ENSG00000076555	ENSG00000076555	ACACB		HACC275, ACC2, ACCB
		ACAD		
ENSG00000151498	ENSG00000151498	ACAD8		
ENSG00000177646	ENSG00000177646	ACAD9		NPD002, MGC14452
ENSG00000111271	ENSG00000111271	ACAD10		MGC5601
ENSG00000240303	ENSG00000240303	ACAD11		FLJ12592
ENSG00000115361	ENSG00000115361	ACADL		LCAD, ACAD4
ENSG00000117054	ENSG00000117054	ACADM		MCAD, MCADH, ACAD1
ENSG00000122971	ENSG00000122971	ACADS		SCAD, ACAD3
ENSG00000196177	ENSG00000196177	ACADSB		SBCAD, ACAD7
ENSG00000072778	ENSG00000072778	ACADVL		VLCAD, LCACD, ACAD6
ENSG00000157766	ENSG00000157766	ACAN	MSK16, CSPG1, AGC1	CSPGCP
ENSG00000072818	ENSG00000072818	ACAP1	CENTB1	KIAA0050
ENSG00000114331	ENSG00000114331	ACAP2	CENTB2	KIAA0041, CNT-B2
ENSG00000229325	ENSG00000229325	ACAP2-IT1		
ENSG00000131584	ENSG00000131584	ACAP3	CENTB5	KIAA1716
ENSG00000075239	ENSG00000075239	ACAT1	ACAT	THIL
ENSG00000120437	ENSG00000120437	ACAT2		
ENSG00000182827	ENSG00000182827	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7
ENSG00000234478	ENSG00000234478	ACBD3-AS1		RP11-275I14.4
ENSG00000181513	ENSG00000181513	ACBD4		FLJ13322
ENSG00000107897	ENSG00000107897	ACBD5		DKFZp434A2417, KIAA1996
ENSG00000230124	ENSG00000230124	ACBD6		MGC2404
ENSG00000176244	ENSG00000176244	ACBD7		FLJ38219, bA455B2.2
		ACBP		
		ACC		
		ACCN		
		ACCPN		
ENSG00000110455	ENSG00000110455	ACCS		PHACS, ACS
ENSG00000205126	ENSG00000205126	ACCSL		
ENSG00000102977	ENSG00000102977	ACD		Ptop, Pip1, Tpp1, Tint1
ENSG00000159640	ENSG00000159640	ACE	DCP1	ACE1, CD143
ENSG00000130234	ENSG00000130234	ACE2		
ENSG00000224353	ENSG00000224353	ACE3P		
ENSG00000167769	ENSG00000167769	ACER1	ASAH3	
ENSG00000177076	ENSG00000177076	ACER2	ASAH3L	FLJ41587, ALKCDase2
ENSG00000078124	ENSG00000078124	ACER3	PHCA	FLJ11238, APHC
		ACH		
		ACHAP		
ENSG00000087085	ENSG00000087085	ACHE	YT	
		ACHM1	RMCH	
		ACHM2		
		ACHM3		
		ACHRD		
		ACHRG		
ENSG00000100813	ENSG00000100813	ACIN1	ACINUS	KIAA0670, fSAP152
ENSG00000213088	ENSG00000213088	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234
ENSG00000144648	ENSG00000144648	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9
ENSG00000144476	ENSG00000144476	ACKR3	CMKOR1, CXCR7	RDC1, GPR159
ENSG00000129048	ENSG00000129048	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ENSG00000225415	ENSG00000225415	ACKR4P1	CCRL1P, CCRL1P1	dJ509I19.4
		ACLS		
ENSG00000131473	ENSG00000131473	ACLY		ATPCL, CLATP, ACL
		ACMG		
ENSG00000153086	ENSG00000153086	ACMSD		
ENSG00000227411	ENSG00000227411	ACNATP	BAATP1	
ENSG00000122729	ENSG00000122729	ACO1	IREB1	IRP1, IREBP
ENSG00000100412	ENSG00000100412	ACO2		ACONM
ENSG00000102794	ENSG00000102794	ACOD1	IRG1	CAD
ENSG00000184227	ENSG00000184227	ACOT1		ACH2, CTE-1, LACH2
ENSG00000119673	ENSG00000119673	ACOT2		Mte1, ZAP128
ENSG00000177465	ENSG00000177465	ACOT4		FLJ31235, PTE-Ib, PTE2B
ENSG00000205669	ENSG00000205669	ACOT6	C14orf42	
ENSG00000097021	ENSG00000097021	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ENSG00000101473	ENSG00000101473	ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1
ENSG00000123130	ENSG00000123130	ACOT9		CGI-16, MT-ACT48, ACATE2
ENSG00000162390	ENSG00000162390	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ENSG00000172497	ENSG00000172497	ACOT12		Cach, THEAL, STARD15
ENSG00000112304	ENSG00000112304	ACOT13	THEM2	HT012
ENSG00000161533	ENSG00000161533	ACOX1		PALMCOX
ENSG00000168306	ENSG00000168306	ACOX2		BRCACOX, BRCOX, THCCox
ENSG00000087008	ENSG00000087008	ACOX3		
ENSG00000153093	ENSG00000153093	ACOXL		FLJ11042
ENSG00000204581	ENSG00000204581	ACOXL-AS1		
ENSG00000143727	ENSG00000143727	ACP1		HAAP, LMW-PTP, LMWPTP
ENSG00000134575	ENSG00000134575	ACP2		LAP
ENSG00000014257	ENSG00000014257	ACP3	ACPP	ACP-3, PAP, TM-PAP
ENSG00000142513	ENSG00000142513	ACP4	ACPT	
ENSG00000102575	ENSG00000102575	ACP5		TRAP, HPAP
