gene	CD8_subtype_1	CD8_subtype_2	CD4_subtype_1	CD4_subtype_2	B_cell_subtype_1	B_cell_subtype_2	NK_subtype_1	NK_subtype_2	mono_subtype_1	mono_subtype_2	Endothelial_subtype_1	Endothelial_subtype_2	Fibroblast_subtype_1	Fibroblast_subtype_2	Neutrophils_subtype_1	Neutrophils_subtype_2
ENSG00000256045	18.361468140560593	109.29669569990796	2111.740981754983	4462.882864252869	5485.660415851063	2569.175472515934	1572.5541933487714	3577.1004538535544	1013.2193428614004	97.0440428390792	4232.191921696519	11967.719951906049	793.1404549033214	1197.694895866413	0.1221105	0.09281310000000001
ENSG00000256222	25.001004629369323	6.897102128587091	234.1585549300604	601.6782241182266	698.8104451578869	246.51308165768307	178.82658955546364	365.9804107116421	5121.005254557746	303.60172956208083	427.8882651734529	1108.978236173725	94.41134386430214	137.95751027523167	0.1354795	0.7078475
ENSG00000256427	42.73812700964998	42.73855625000014	29.673358825309126	29.673693333333222	0.4141943749999969	0.41419437499999595	26.13559026743566	26.150487500000025	0.1589366666666667	0.15659171446472422	0.012370345116333531	0.01230346500000001	0.09470820276390957	0.09455523809523805	0.0	0.0
ENSG00000256618	148.27321884180517	256.55049415345644	4368.271259565167	10169.9095015419	11678.211534867733	5597.893110212381	3360.635181511452	7104.54888193467	37987.91377188912	2265.7763084739704	8657.898188430998	20717.260747550663	3615.8209599786687	5365.379480650495	0.10856725	0.0
ENSG00000256642	1.4810635985053704	0.3602019762065681	1.17642105090734	1.3163762578334892	1.9790530794886487	1.010328660780333	0.40750736314181096	1.8391591444835018	7.804334495663183	6.17518838888299	7.070761373267692	4.3079675578861645	32.583702791857476	32.57554285714286	0.0	0.0499485
ENSG00000256862	10.358328601007273	10.358477812500038	32.73097407849449	32.73127500000008	0.520620812499999	0.520620812499999	0.7125799116281609	0.7130289999999998	0.8491471666666665	0.8461126590751701	0.016232120961256945	0.016170754545454545	0.025680463831351016	0.02564137142857142	0.9722029999999999	0.4045885
ENSG00000257221	1.1803125276888673	1.1803362500000019	0.8722551623353727	0.8722669999999956	69.64506875000005	69.6450687499998	0.9929686038463784	0.9942262500000002	1.1491930833333337	1.1438489134474923	0.21630222843294578	0.2154244731818182	0.3854152459597116	0.38495984285714263	3.9272799999999997	2.743419
ENSG00000257345	0.26562122495404966	0.26562768750000026	0.03782619762431575	0.03782716666666647	7.4208581875000155	7.4208581875000155	0.41539296155448624	0.41599650000000027	0.09304641666666667	0.09260873996218454	0.003342813004830482	0.0033259640909090913	0.03812306787745626	0.0380780761904762	0.372934	0.442669
ENSG00000257453	1.8025883777226785	1.8026073749999936	0.32806953793479005	0.328077616666666	0.21503368749999802	0.21503368749999754	2.7568907193984065	2.7591149999999987	2.2765556583333333	2.25530862106992	0.3026170095228174	0.30174276818181844	19.11828139455108	19.09718383809519	3.772199999999999	0.40191
ENSG00000257698	8.60498294638672	8.60504162500001	7.654412669499328	7.6544576666666995	5.217595000000022	5.217595000000038	8.037575457389085	8.039349750000007	3.180620666666666	3.1680791164885993	0.1766613624056601	0.1764347813636364	47.503411816432816	47.44979368790481	8.4471495	16.267678
ENSG00000257764	1.47100863742496	1.4710220625000063	2.288468308387156	2.2884816666666685	220.9342056286746	220.93420562867303	15.12470262180108	15.142864999999986	637.1551874508333	633.2867605777338	0.10568204593617034	0.1052731681818182	0.08183494906566306	0.08178130476190483	616.429	25.11515
